Order,Basic finish date,Basic Start Date,Scheduled release date,Scheduled finish,Scheduled start,Actual start date,Actual Order Finish Date,Actual finish date,Actual release date,Planned Release Date,Reservation,Total Scrap Quantity in the Order,Total Order Quantity,Base Unit of Measure,Material,Task List Type,Group,Application,Group Counter,Usage,Explosion Date,Lot Size To,Task List Unit,Lot Size From,Valid From,Change Number,Planner Group,Lot size divisor,BOM category,Material,BOM Status,Bill of Material,Valid From,Base quantity,Base Unit of Measure,Change Number,Alternative BOM,BOM Usage,From Lot Size,To Lot Size,BOM Explosion Date,MRP controller,Routing number for operations,Production Supervisor,Scheduling Margin Key,Scheduling type,Reduction Indicator,Order priority,Network,Superior activity,Network Profile,Float before prod.,Float after product.,Release period,Dates Changed Manually,Capacity Requirement ID,Project definition,Counter,Counter,Addit. Crit. Cntr,Inspection Lot,Planned Costs Costing Variant,Actual Costs Costing Variant,Backflushing,Scheduling basis,Ind: Relationships,Ind. work,Forecast finish date,Forecast start date,Scheduled forecast finish,Scheduled forecast start,Scheduled release date (forecast),Reduction indicator (forecast),Sched. type forecast,Confirmation,Counter,Confirmed Yield Quantity,Rate ID,Rough sched. ID,Internal object no.,Scheduled fin. time,Scheduled start time,Revision Level,Object Type,Object ID,Object Type,Object ID,No auto. scheduling,No automatic costing,Level,Path,Path,Reservation,Order item number,Superior Order,Left node,Right node,Collective Order,Confirmed Scrap Quantity,Degree of processing,Subnetwork of,Routing number for operations,Counter,Effec. mat. planning,Apportionment Struct,Change Number,Sequence Number,Exact break times,Schd.flt before prod,Sched.flt after prod,Scheduled on,Basic Finish Time,Basic start time,ActualStartTime,Actual Finish Time,Finish time,Start time,Sched. finish time,Sched. start time,Search Procedure,RemainPreProdFloat,Remaining float,Leading Order,Outl. start,Outl. start,Out.finish,Out.finish,No Cap. Requirements,CostingComp.ind.,Production Scheduling Profile,Confirmed Rework Quantity,Commitment Date,Committed qty,No planned costs,Account assignment,Request ID,Change indicator,Change process type,Version,CO processing,Proj. summ. master data character.,Identical object,Object ID,Version,Scheduling note,Split Status,Update costs,Maximum Quantity,MES Routing,Routing Version,BOM Version,Flexible Processing,PM/PS Reference Element,SD Document,Item (SD),Item (SD),Max. Storage Period,Time unit,Additional Days,Date of Manufacture,BBD/SLED,Handling Type,Master Production Order,Bundle Flag,Adjustment Factor for Settlement Rules,Base Unit of Measure,Base quantity,Combination Indicator
20006676,12/31/2024,3/7/2024,,12/31/2024,3/7/2024,3/13/2025,3/13/2025,,3/11/2024,,10126498,0.000,1.000,,,0,,N,,,,0.000,,0.000,,,PS1,0.000,,,0,,,0.000,,,,,0.000,0.000,3/6/2024,PS1,452622,PS1,,1,,,,,ZPS0002,0,0,0,,10000838393,EN-24-0032,0,0,0,0,PS02,PS03,,1,X,X,12/31/2024,3/7/2024,12/31/2024,3/7/2024,,,1,0,0,0.000,0,0,0,12:00:00 AM,12:00:00 AM,,,0,,0,X,,0,0,0,0,0,,,,,0.000,0,,0,0,,,,0,,0.000,0.000,,24:00:00,12:00:00 AM,12:00:00 AM,24:00:00,24:00:00,12:00:00 AM,12:00:00 AM,12:00:00 AM,,0,0,,,12:00:00 AM,,24:00:00,X,,,0.000,,0.000,,2,,,,0,,X,0,0,,,,,0.000,,,,,,,0,0,0,,0,,,,,,0,,0.000,
20006681,,3/8/2024,,3/8/2024,3/8/2024,,,,,,10133399,0.000,1.000,,,0,,N,,,,0.000,,0.000,,,PS1,0.000,,,0,,,0.000,,,,,0.000,0.000,3/8/2024,PS1,452951,PS1,,1,,,,,ZPS0002,0,0,0,,10000839023,IT-19-3796,0,0,0,0,PS02,PS03,,1,X,X,,3/8/2024,3/8/2024,3/8/2024,,,1,0,0,0.000,0,0,0,12:00:00 AM,12:00:00 AM,,,0,,0,X,,0,0,0,0,0,,,,,0.000,0,,0,0,X,,,0,,0.000,0.000,,24:00:00,12:00:00 AM,12:00:00 AM,12:00:00 AM,24:00:00,12:00:00 AM,12:00:00 AM,12:00:00 AM,,0,0,,,12:00:00 AM,,24:00:00,X,,,0.000,,0.000,,2,,,,0,,X,0,0,,,,,0.000,,,,,,,0,0,0,,0,,,,,,0,,0.000,
20006682,,3/8/2024,,3/8/2024,3/8/2024,,,,3/11/2024,,10133400,0.000,1.000,,,0,,N,,,,0.000,,0.000,,,PS1,0.000,,,0,,,0.000,,,,,0.000,0.000,3/8/2024,PS1,452952,PS1,,1,,,,,ZPS0002,0,0,0,,10000839024,IT-19-5036,0,0,0,0,PS02,PS03,,1,X,X,,3/8/2024,3/8/2024,3/8/2024,,,1,0,0,0.000,0,0,0,12:00:00 AM,12:00:00 AM,,,0,,0,X,,0,0,0,0,0,,,,,0.000,0,,0,0,,,,0,,0.000,0.000,,24:00:00,12:00:00 AM,12:00:00 AM,12:00:00 AM,24:00:00,12:00:00 AM,12:00:00 AM,12:00:00 AM,,0,0,,,12:00:00 AM,,24:00:00,X,,,0.000,,0.000,,2,,,,0,,X,0,0,,,,,0.000,,,,,,,0,0,0,,0,,,,,,0,,0.000,
20006683,,3/8/2024,,3/8/2024,3/8/2024,,,,3/11/2024,,10133401,0.000,1.000,,,0,,N,,,,0.000,,0.000,,,PS1,0.000,,,0,,,0.000,,,,,0.000,0.000,3/8/2024,PS1,452953,PS1,,1,,,,,ZPS0002,0,0,0,,10000839025,IT-19-5036,0,0,0,0,PS02,PS03,,1,X,X,,3/8/2024,3/8/2024,3/8/2024,,,1,0,0,0.000,0,0,0,12:00:00 AM,12:00:00 AM,,,0,,0,X,,0,0,0,0,0,,,,,0.000,0,,0,0,,,,0,,0.000,0.000,,24:00:00,12:00:00 AM,12:00:00 AM,12:00:00 AM,24:00:00,12:00:00 AM,12:00:00 AM,12:00:00 AM,,0,0,,,12:00:00 AM,,24:00:00,X,,,0.000,,0.000,,2,,,,0,,X,0,0,,,,,0.000,,,,,,,0,0,0,,0,,,,,,0,,0.000,
20006687,10/31/2024,3/11/2024,,10/31/2024,3/11/2024,,,,4/24/2024,,10146609,0.000,1.000,,,0,,N,,,,0.000,,0.000,,,PS1,0.000,,,0,,,0.000,,,,,0.000,0.000,3/12/2024,PS1,453700,PS1,,1,,,,,ZPS0002,0,0,0,,10000840190,IT-19-5490,0,0,0,0,PS02,PS03,,1,X,X,10/31/2024,3/11/2024,10/31/2024,3/11/2024,,,1,0,0,0.000,0,0,0,12:00:00 AM,12:00:00 AM,,,0,,0,X,,0,0,0,0,0,,,,,0.000,0,,0,0,,,,0,,0.000,0.000,,24:00:00,12:00:00 AM,12:00:00 AM,12:00:00 AM,24:00:00,12:00:00 AM,12:00:00 AM,12:00:00 AM,,0,0,,,12:00:00 AM,,24:00:00,X,,,0.000,,0.000,,2,,,,0,,X,0,0,,,,,0.000,,,,,,,0,0,0,,0,,,,,,0,,0.000,
20006677,8/30/2024,3/15/2024,,8/30/2024,3/15/2024,9/6/2024,9/6/2024,,3/18/2024,,10133061,0.000,1.000,,,0,,N,,,,0.000,,0.000,,,PS1,0.000,,,0,,,0.000,,,,,0.000,0.000,3/8/2024,PS1,452838,PS1,,1,,,,,ZPS0002,0,0,0,,10000838929,EN-24-0033,0,0,0,0,PS02,PS03,,1,X,X,8/30/2024,3/15/2024,8/30/2024,3/15/2024,,,1,0,0,0.000,0,0,0,12:00:00 AM,12:00:00 AM,,,0,,0,X,,0,0,0,0,0,,,,,0.000,0,,0,0,,,,0,,0.000,0.000,,24:00:00,12:00:00 AM,12:00:00 AM,24:00:00,24:00:00,12:00:00 AM,12:00:00 AM,12:00:00 AM,,0,0,,,12:00:00 AM,,24:00:00,X,,,0.000,,0.000,,2,,,,0,,X,0,0,,,,,0.000,,,,,,,0,0,0,,0,,,,,,0,,0.000,
20006678,8/30/2024,3/15/2024,,8/30/2024,3/15/2024,12/6/2024,12/6/2024,,4/24/2024,,10133062,0.000,1.000,,,0,,N,,,,0.000,,0.000,,,PS1,0.000,,,0,,,0.000,,,,,0.000,0.000,3/8/2024,PS1,452840,PS1,,1,,,,,ZPS0002,0,0,0,,10000838931,EN-24-0034,0,0,0,0,PS02,PS03,,1,X,X,8/30/2024,3/15/2024,8/30/2024,3/15/2024,,,1,0,0,0.000,0,0,0,12:00:00 AM,12:00:00 AM,,,0,,0,X,,0,0,0,0,0,,,,,0.000,0,,0,0,,,,0,,0.000,0.000,,24:00:00,12:00:00 AM,12:00:00 AM,24:00:00,24:00:00,12:00:00 AM,12:00:00 AM,12:00:00 AM,,0,0,,,12:00:00 AM,,24:00:00,X,,,0.000,,0.000,,2,,,,0,,X,0,0,,,,,0.000,,,,,,,0,0,0,,0,,,,,,0,,0.000,
20006679,8/30/2024,3/15/2024,,8/30/2024,3/15/2024,9/6/2024,9/6/2024,,3/18/2024,,10133065,0.000,1.000,,,0,,N,,,,0.000,,0.000,,,PS1,0.000,,,0,,,0.000,,,,,0.000,0.000,3/8/2024,PS1,452842,PS1,,1,,,,,ZPS0002,0,0,0,,10000838933,EN-24-0035,0,0,0,0,PS02,PS03,,1,X,X,8/30/2024,3/15/2024,8/30/2024,3/15/2024,,,1,0,0,0.000,0,0,0,12:00:00 AM,12:00:00 AM,,,0,,0,X,,0,0,0,0,0,,,,,0.000,0,,0,0,,,,0,,0.000,0.000,,24:00:00,12:00:00 AM,12:00:00 AM,24:00:00,24:00:00,12:00:00 AM,12:00:00 AM,12:00:00 AM,,0,0,,,12:00:00 AM,,24:00:00,X,,,0.000,,0.000,,2,,,,0,,X,0,0,,,,,0.000,,,,,,,0,0,0,,0,,,,,,0,,0.000,
20006680,8/30/2024,3/15/2024,,8/30/2024,3/15/2024,9/6/2024,9/6/2024,,3/18/2024,,10133157,0.000,1.000,,,0,,N,,,,0.000,,0.000,,,PS1,0.000,,,0,,,0.000,,,,,0.000,0.000,3/8/2024,PS1,452865,PS1,,1,,,,,ZPS0002,0,0,0,,10000838883,EN-24-0035,0,0,0,0,PS02,PS03,,1,X,X,8/30/2024,3/15/2024,8/30/2024,3/15/2024,,,1,0,0,0.000,0,0,0,12:00:00 AM,12:00:00 AM,,,0,,0,X,,0,0,0,0,0,,,,,0.000,0,,0,0,,,,0,,0.000,0.000,,24:00:00,12:00:00 AM,12:00:00 AM,12:00:00 AM,24:00:00,12:00:00 AM,12:00:00 AM,12:00:00 AM,,0,0,,,12:00:00 AM,,24:00:00,X,,,0.000,,0.000,,2,,,,0,,X,0,0,,,,,0.000,,,,,,,0,0,0,,0,,,,,,0,,0.000,
20006688,,3/15/2024,,3/15/2024,3/15/2024,3/15/2024,4/22/2025,,3/27/2024,,10162212,0.000,1.000,,,0,,N,,,,0.000,,0.000,,,PS1,0.000,,,0,,,0.000,,,,,0.000,0.000,3/15/2024,PS1,454651,PS1,,1,,,,,ZPS0002,0,0,0,,10000841383,RD-24-0009,0,0,0,0,PS02,PS03,,1,X,X,,3/15/2024,3/15/2024,3/15/2024,,,1,0,0,0.000,0,0,0,12:00:00 AM,12:00:00 AM,,,0,,0,X,,0,0,0,0,0,,,,,0.000,0,,0,0,,,,0,,0.000,0.000,,24:00:00,12:00:00 AM,12:00:00 AM,24:00:00,24:00:00,12:00:00 AM,12:00:00 AM,12:00:00 AM,,0,0,,,12:00:00 AM,,24:00:00,X,,,0.000,,0.000,,2,,,,0,,X,0,0,,,,,0.000,,,,,,,0,0,0,,0,,,,,,0,,0.000,
