EBAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purchase Requisition,Item of requisition,Document Type,Purch. Doc. Category,Control indicator,Deletion Indicator,Processing status,Creation indicator,Release indicator,Release State,Release strategy,Purchasing Group,Created By,Changed On,Requisitioner,Short Text,Material,MPN material,Plant,Storage Location,Req. Tracking Number,Material Group,Supplying Plant,Quantity requested,Unit of Measure,Shortage quantity,Requisition date,Deliv. date category,Delivery Date,Release Date,GR processing time,Valuation Price,Price unit,Item Category,Acct Assignment Cat.,Consumption,Modifiable,Distrib. Indicator,Partial invoice,Goods Receipt,GR non-valuated,Invoice Receipt,Desired Vendor,Fixed Vendor,Purch. Organization,Purch. Doc. Category,Outline agreement,Princ. Agreement Item,Purchasing info rec.,Assigned,Quota arrangement,Quota arrangemt.item,MRP Controller,BOM explosion number,Last resubmission,Resubmission,No. of resubmissions,Purchase order,Purchase Order Item,Purchase Order Date,Quantity ordered,Consumption Value for Limit Items,Entry Sheet,Valuation Type,Affects commitments,Closed,Reservation,Special Stock,Settlement res. no.,Item settlem.reser.,"""Fixed"" indicator",Order Unit,Revision Level,Advance procurement,Package number,Kanban Indicator,Purchase order price,Internal object no.,Release group,Subject to Release,Retail Promotion,Batch,Sp. ind. stock tfr.,Production Version,Commitment item,Funds Center,Fund,Origin of configuratn,Cross-plant CM,Committed Quantity,Committed date,Material Category,Address,Address,Customer,Supplier,SC Supplier,Spec. stk valuation,Currency,Supplier Material Number,Overall release of requisitions,Mfr part profile,Units of meas. usage,Language Key,Standard Variant,Manufacturer Part No.,Manufacturer,Ext. manufacturer,Framework Order,Framework order item,Planned Deliv. Time,MRP Area,Time,Functional Area,Grant,Incomplete,Purchase requisition processing state,Total val. upon release,Blocking Indicator,Version,Blocking Text,Procuring Plant,Procurement profile,External document,External item,PO Quantity on Hold,Value-Based Com. Reduct.,Issuing Storage Loc.,Earmarked Funds,Document Item,Requirement Urgency,Requirement Priority,Category of Incompleteness,No.serial numbers,Min. Rem. Shelf Life,Period Ind. for SLED,Reservation/Purc.req,Central Contract,Central Contract Item,Budget Period,Planned dates,PR Created in Expert Mode,Is PR relevant for Central PR Processing,CRM Ref  Order Number for TPOP Process,CRM Reference  Item Number in TPOP Proc,PurReq in external approval,Include Purchase Requistion Ext,128 character,"Character field, length 64",Creation Date,Creation Time,Product Type Group,Service Performer,Business Purpose Completed,Timestamp for Revision of External Calls,US Government Fields,Start Date for Period of Performance,End Date for Period of Performance,Material,Fixed Supplier of External System,Desired Supplier,Contract of External System,Contract Item,Info Record of External System,Plant,Storage Location of External System,Company Code,Purchasing Organization,Communication System ID,Connected System ID,PR Change Indicator,PR Document Type of Connected System,Is Replication Before Approval,Approval Status in Hub,External Processing Status,Intermediate External Approval Status,Purchase Requisition Item,Time Stamp,Shop On Behalf Indicator,Version of Silent Data Migration,G/L Account,Cost Center,Expected Value,Overall Limit,Purchase Contract for Limit,Delivery Address Type,Tax Code,Transaction Data Footprint,Is PurReqn Blocked by Trade Compliance,Purchase Requisition Description,Is Outline,Parent Item No,Outline Type,Hierarchy Number,External Sort Number,Advice Code,StatusCode,Cross-System PReq No.,Cross-System PReq Item,Cross-System ItemCat,PO Quantity Sender,No SLoc Data,Model ID Code,Order Priority,Delivery Priority,Aircraft registration number,DoNotSubstitute,Subcontracting type,Special stock,WBS Element,Customer,SD Document,Item (SD),Owner of stock,Supply Process,Hold On-Shore,Version,Season Year,Season,Collection,Theme,VAS Relevant,Item,Transaction Number,Item Group,Item Number,IUID-Relevant,Catalog Item Key,Technical Key of a Web Service,Catalog Item,Requestor,Author,Stock Segment,Requirement Segment,Characteristic Value 1,Characteristic Value 2,Characteristic Value 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10672166,1510,NB,B,,,B,F,2,X,P2,137,M311378,45456,M311378,HMND 1418BW20 N12 Freestanding Enclosure,,,USD6,,,1710120,,1,EA,0,45456,1,45463,45462,0,3254.95,1,5,N,V,,,,X,,X,10108999,,1000,,,0,,,,0,,,,0,0,4500195093,10,45456,1,0,,,X,,0,,1585,240,,,,X,0,,,0,01,,,,,,,,,,,0,,,3768629,,,,,,USD,,X,,,EN,,,,,,0,0,,0,,,,05,0,,,,,,,0,0,,,,0,0,0,,0,0,D,,,0,,,,,,,,,,,45456,0.810787037,,,,0,,,,,,,,0,,,,,,,,false,,,,,,1067216601510,45456.8095,,03,,,0,0,,,,00000000000000000000000000000000,,,,0,,,0,,,,0,,0,,,,0,,,,,,,,0,,,false,,,,,,,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10672166,1520,NB,B,,,B,F,2,X,P2,137,M311378,45456,M311378,HMND 90BWFW Inner Panel Full Height,,,USD6,,,1710120,,1,EA,0,45456,1,45463,45462,0,942.89,1,5,N,V,,,,X,,X,10108999,,1000,,,0,,,,0,,,,0,0,4500195093,20,45456,1,0,,,X,,0,,1585,241,,,,X,0,,,0,01,,,,,,,,,,,0,,,3768630,,,,,,USD,,X,,,EN,,,,,,0,0,,0,,,,05,0,,,,,,,0,0,,,,0,0,0,,0,0,D,,,0,,,,,,,,,,,45456,0.810787037,,,,0,,,,,,,,0,,,,,,,,false,,,,,,1067216601520,45456.81059,,03,,,0,0,,,,00000000000000000000000000000000,,,,0,,,0,,,,0,,0,,,,0,,,,,,,,0,,,false,,,,,,,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10672166,1530,NB,B,,,B,F,2,X,P2,138,M311378,45469,M311378,Resistor Panels & Materials,,,USD6,,,1750100,,1,EA,0,45469,1,45476,45475,0,3871.9,1,5,N,V,,,,X,,X,10106993,,1000,,,0,,,,0,,,,0,0,4500196059,10,45469,1,0,,,X,,0,,1585,242,,,,X,0,,,0,01,,,,,,,,,,,0,,,3770996,,,,,,USD,,X,,,EN,,,,,,0,0,,0,,,,05,0,,,,,,,0,0,,,,0,0,0,,0,0,D,,,0,,,,,,,,,,,45469,0.5164236111,,,,0,,,,,,,,0,,,,,,,,false,,,,,,1067216601530,45469.51603,,03,,,0,0,,,,00000000000000000000000000000000,,,,0,,,0,,,,0,,0,,,,0,,,,,,,,0,,,false,,,,,,,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10795703,420,NB,B,,,B,F,,,,139,M311378,45586,M311378,AP11 Heater Board Test Fixture,,,USD6,,,1750100,,2,EA,0,45407,1,45422,45421,0,1690,1,5,N,V,,,,X,,X,10167378,,1000,,,0,,,,0,,,,0,0,4500191357,10,45407,2,0,,,X,,0,,1031980,87,,,,X,0,,,0,,,,,,,,,,,,0,,,3700096,,,,,,USD,,X,,,EN,,,,,,0,0,,0,,,,02,0,,,,,,,0,0,,,,0,0,0,,0,0,D,,,0,,,,,,,,,,,45407,0.5234722222,,,,0,,,,,,,,0,,,,,,,,false,,,,,,1079570300420,45407.52126,,03,,,0,0,,,,00000000000000000000000000000000,,,,0,,,0,,,,0,,0,,,,0,,,,,,,,0,,,false,,,,,,,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10795703,430,NB,B,,,B,F,,,,139,M311378,45586,M311378,AP11 New P/S Prototype,,,USD6,,,3430999,,4,EA,0,45505,1,45506,45505,0,3023.38,1,5,N,V,,,,X,,X,10013754,,1000,,,0,,,,0,,,,0,0,4500198996,10,45505,4,0,,,X,,0,,1031980,100,,,,X,0,,,0,,,,,,,,,,,,0,,,3777813,,,,,,USD,,X,,,EN,,,,,,0,0,,0,,,,02,0,,,,,,,0,0,,,,0,0,0,,0,0,D,,,0,,,,,,,,,,,45505,0.4953819444,,,,0,,,,,,,,0,,,,,,,,false,,,,,,1079570300430,45505.53619,,03,,,0,0,,,,00000000000000000000000000000000,,,,0,,,0,,,,0,,0,,,,0,,,,,,,,0,,,false,,,,,,,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10795703,440,NB,B,,,B,F,,,,139,M311378,45586,M311378,LF-SW008104 WIREEL_AP11 PANEL LEFT 12C,,,USD6,,,1750100,,8,EA,0,45520,1,45527,45526,0,25.55,1,5,N,V,,,,X,,X,10013754,,1000,,,0,,,,0,,,,0,0,4500200336,10,45520,8,0,,,X,,0,,1031980,101,,,,X,0,,,0,,,,,,,,,,,,0,,,3781381,,,,,,USD,,X,,,EN,,,,,,0,0,,0,,,,02,0,,,,,,,0,0,,,,0,0,0,,0,0,D,,,0,,,,,,,,,,,45520,0.6728356481,,,,0,,,,,,,,0,,,,,,,,false,,,,,,1079570300440,45520.67155,,03,,,0,0,,,,00000000000000000000000000000000,,,,0,,,0,,,,0,,0,,,,0,,,,,,,,0,,,false,,,,,,,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10795703,450,NB,B,,,B,F,,,,139,M311378,45586,M311378,LF-SW008069 WIREEL_AP11 PANEL I/O LEFT,,,USD6,,,1750100,,8,EA,0,45520,1,45527,45526,0,21.28,1,5,N,V,,,,X,,X,10013754,,1000,,,0,,,,0,,,,0,0,4500200336,20,45520,8,0,,,X,,0,,1031980,102,,,,X,0,,,0,,,,,,,,,,,,0,,,3781382,,,,,,USD,,X,,,EN,,,,,,0,0,,0,,,,02,0,,,,,,,0,0,,,,0,0,0,,0,0,D,,,0,,,,,,,,,,,45520,0.6728356481,,,,0,,,,,,,,0,,,,,,,,false,,,,,,1079570300450,45520.6727,,03,,,0,0,,,,00000000000000000000000000000000,,,,0,,,0,,,,0,,0,,,,0,,,,,,,,0,,,false,,,,,,,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10795703,460,NB,B,,,B,F,,,,135,M311378,45586,M311378,AP11 OMRON KIT,,,USD6,,,1750100,,10,EA,0,45530,1,45555,45554,0,506.75,1,5,N,V,,,,X,,X,10013754,,1000,,,0,,,,0,,,,0,0,4500201081,30,45530,4,0,,,X,,0,,1031980,112,,,,X,0,,,0,,,,,,,,,,,,0,,,3782726,,,,,,USD,,X,,,EN,,,,,,0,0,,0,,,,02,0,,,,,,,0,0,,,,0,0,0,,0,0,D,,,0,,,,,,,,,,,45530,0.775150463,,,,0,,,,,,,,0,,,,,,,,false,,,,,,1079570300460,45530.77505,,03,,,0,0,,,,00000000000000000000000000000000,,,,0,,,0,,,,0,,0,,,,0,,,,,,,,0,,,false,,,,,,,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EKPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
